iter	Passed	Remaining
800	18254	4535
801	18277	4512
802	18303	4490
803	18327	4467
804	18351	4445
805	18375	4422
806	18399	4400
807	18423	4377
808	18448	4355
809	18471	4332
810	18495	4310
811	18520	4287
812	18544	4265
813	18568	4242
814	18593	4220
815	18616	4197
816	18640	4175
817	18665	4152
818	18687	4129
819	18711	4107
820	18738	4085
821	18763	4063
822	18787	4040
823	18812	4018
824	18835	3995
825	18859	3972
826	18885	3950
827	18910	3928
828	18935	3905
829	18960	3883
830	18984	3860
831	19009	3838
832	19032	3815
833	19055	3792
834	19079	3770
835	19102	3747
836	19125	3724
837	19147	3701
838	19171	3678
839	19192	3655
840	19214	3632
841	19236	3609
842	19257	3586
843	19278	3563
844	19299	3540
845	19319	3516
846	19341	3493
847	19363	3470
848	19387	3448
849	19408	3424
850	19431	3402
851	19455	3379
852	19477	3356
853	19503	3334
854	19527	3311
855	19550	3288
856	19574	3266
857	19598	3243
858	19620	3220
859	19641	3197
860	19668	3175
861	19692	3152
862	19715	3129
863	19740	3107
864	19762	3084
865	19784	3061
866	19806	3038
867	19827	3015
868	19848	2992
869	19870	2969
870	19891	2946
871	19913	2923
872	19934	2900
873	19955	2876
874	19976	2853
875	19998	2830
876	20018	2807
877	20040	2784
878	20062	2761
879	20085	2738
880	20107	2716
881	20129	2693
882	20150	2669
883	20171	2646
884	20192	2623
885	20214	2600
886	20235	2577
887	20258	2555
888	20280	2532
889	20300	2509
890	20322	2486
891	20344	2463
892	20365	2440
893	20387	2417
894	20409	2394
895	20432	2371
896	20455	2348
897	20476	2325
898	20497	2302
899	20520	2280
900	20542	2257
901	20563	2234
902	20585	2211
903	20608	2188
904	20629	2165
905	20652	2142
906	20673	2119
907	20694	2096
908	20716	2073
909	20739	2051
910	20760	2028
911	20781	2005
912	20803	1982
913	20824	1959
914	20847	1936
915	20869	1913
916	20892	1891
917	20914	1868
918	20935	1845
919	20956	1822
920	20980	1799
921	21002	1776
922	21024	1753
923	21046	1731
924	21069	1708
925	21091	1685
926	21114	1662
927	21137	1639
928	21160	1617
929	21182	1594
930	21205	1571
931	21227	1548
932	21249	1525
933	21271	1503
934	21293	1480
935	21315	1457
936	21336	1434
937	21358	1411
938	21380	1388
939	21403	1366
940	21424	1343
941	21446	1320
942	21468	1297
943	21490	1274
944	21513	1252
945	21541	1229
946	21565	1206
947	21588	1184
948	21610	1161
949	21631	1138
950	21653	1115
951	21677	1092
952	21700	1070
953	21724	1047
954	21750	1024
955	21773	1002
956	21795	979
957	21816	956
958	21839	933
959	21860	910
960	21882	888
961	21904	865
962	21926	842
963	21948	819
964	21969	796
965	21992	774
966	22014	751
967	22036	728
968	22058	705
969	22079	682
970	22100	660
971	22122	637
972	22145	614
973	22167	591
974	22189	568
975	22211	546
976	22233	523
977	22255	500
978	22277	477
979	22299	455
980	22321	432
981	22342	409
982	22364	386
983	22386	364
984	22407	341
985	22429	318
986	22451	295
987	22472	272
988	22494	250
989	22519	227
990	22540	204
991	22562	181
992	22584	159
993	22606	136
994	22627	113
995	22649	90
996	22669	68
997	22691	45
998	22712	22
999	22734	0
