Feature,Score,Selected
Hct_stft_ultra_slow_temporal_variability,0.2548826904382445,False
SBP_stft_slow_power_ratio,0.24451085460419716,False
pH_stft_ultra_slow_max_power,0.2327307580766332,False
MAP_stft_ultra_slow_temporal_variability,0.22863020498235867,False
HR_stft_slow_spectral_centroid,0.22793308496010395,False
HR_stft_spectral_spread,0.2253388665535679,False
BaseExcess_stft_ultra_slow_spectral_centroid,0.21999480270538507,False
pH_stft_total_power,0.21719857116580824,False
Glucose_stft_ultra_slow_mean_power,0.2163397161458382,False
Shock_Index_stft_spectral_rolloff,0.213719103276305,False
Resp_stft_temporal_power_min,0.20868597300624495,False
Resp_stft_moderate_spectral_centroid,0.20726015422260655,False
BaseExcess_stft_moderate_power_ratio,0.2056155163144951,False
DBP_stft_slow_std_power,0.20496633967643607,False
Resp_stft_slow_temporal_variability,0.20230516299017273,False
Resp_stft_spectral_spread,0.19851151240009518,False
Resp_stft_moderate_std_power,0.19225075448300463,False
HR_stft_spectral_rolloff,0.18641259320580508,False
PaCO2_stft_temporal_power_min,0.18331488454138462,False
HR_stft_spectral_entropy,0.18285388858291254,False
HR_stft_spectral_flatness,0.18222909348242014,False
Glucose_stft_temporal_power_min,0.17648976409693862,False
pH_stft_temporal_power_mean,0.1720173561004339,False
pH_stft_mean_power,0.17201735610043178,False
SBP_stft_ultra_slow_temporal_variability,0.16939196288123745,False
pH_stft_spectral_spread,0.16404438347487316,False
Shock_Index_stft_temporal_concentration,0.1639880473747932,False
pH_stft_moderate_max_power,0.16275013845486283,False
SBP_stft_slow_temporal_variability,0.1588591179441933,False
DBP_stft_fast_mean_power,0.1556673527960052,False
pH_stft_slow_max_power,0.15425563985186133,False
Resp_stft_spectral_entropy,0.1542456281357802,False
pH_stft_max_power,0.15338791442073604,False
pH_stft_spectral_flatness,0.15170888730065063,False
BaseExcess_stft_temporal_trend,0.1517040702949311,False
pH_stft_moderate_spectral_centroid,0.14817899998798545,False
pH_stft_spectral_entropy,0.14816082204852554,False
DBP_stft_ultra_slow_temporal_variability,0.14724234819043447,False
pH_stft_slow_spectral_centroid,0.14698753528107505,False
DBP_stft_slow_mean_power,0.1418696096205965,False
MAP_stft_ultra_slow_mean_power,0.14122446755357104,False
Resp_stft_spectral_flatness,0.13990129009963845,False
DBP_stft_moderate_temporal_variability,0.13810185889138046,False
Shock_Index_stft_temporal_trend,0.13709620883416804,False
Resp_stft_slow_mean_power,0.13307471855898537,False
MAP_stft_mean_power,0.13076627275995967,False
MAP_stft_temporal_power_mean,0.1307662727598515,False
pH_stft_fast_max_power,0.130654151717674,False
SBP_stft_spectral_centroid,0.1243906679857749,False
DBP_stft_ultra_slow_std_power,0.12303790459793844,False
HR_stft_moderate_spectral_centroid,0.12154844905517934,False
pH_stft_temporal_power_max,0.11975239277904676,False
pH_stft_temporal_power_std,0.11933559548757651,False
SBP_stft_slow_std_power,0.11059599483008427,False
